Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0909681098478178,-0.000463217408994888,0.0113158855617286,0,0,0,3.22961622771044,0.00580312787317238,1.93643410742754E-06,7.56620702233221E-07,0.00722042643267803,3.8667733562664E-07,0.0125136556433195,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00185658805884284,-0.0155948984609842,0.0102556772728422,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975804E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336107E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,0.15052,0.083601,-0.062578,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826274,-4.59981459866032E-09,7.99690622610427E-08,0,0,0,0.22822169800504,0.000789211576324214,-1.09995507949752E-10,1.91230261060022E-09,0.000410429434291453,-5.55667165925977E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,-0.0137491946648357,-0.0217865728752538,-0.00300006952834253,3.08413603591628,0,3.14159265358979,left_front_wheel_suspension,0.999999999987214,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,0.00185653619692284,-0.0156302499401892,0.0102556866612721,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056301E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510217E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,0.15052,-0.086399,-0.062578,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.36343997189347E-20,5.56183874794546E-21,0.000410429434291421,-3.25260651745651E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,0.01375,-0.021785,-0.003,0.1626,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.000445525429401739,-1.10634880442079E-05,0.00129821842499728,0,0,0,0.0436119955028422,2.35707059694687E-05,-1.01847086177686E-09,2.1758393011128E-08,4.29479039927907E-06,-8.85046657821648E-10,2.21058152194316E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-6,Origin_cam,Axis_camera,camera,fixed,0.187883152408986,-0.00139050228123665,0.0574202048500908,0,0.40142572795869,0,base_link,0,0,0,,,,,,,,,,,,
camera2,0.000445525266833557,-1.10639236487395E-05,0.00129821764747487,0,0,0,0.0436119958611832,2.35707063464805E-05,-1.01836626404809E-09,2.1758700708505E-08,4.29479063311557E-06,-8.85041666162716E-10,2.21058153836914E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-5,Origin_cam2,Axis_camera2,camera2,fixed,0.184246194713152,-0.00139050228123667,0.123169082523395,0,0.174532925199424,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989475816,-0.00242014065371565,-0.0287648859066119,0,0,0,0.0730845706063433,1.95808756057989E-05,-1.03933750894078E-07,4.28391241178119E-07,2.41250086761113E-05,-9.4271002259946E-09,4.14184522411216E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,0.119259482420036,-0.0091960486691496,0.191917816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,-0.0307407972140711,0.0490477681843309,-0.0509999999999956,0,0,0,0.000510000000000001,5.31250000000002E-09,-7.37257477290141E-26,-3.69426294538431E-27,5.31250000000002E-09,-2.21177243187046E-26,8.50000000000004E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_lidar_joint,Axis_imu,imu,fixed,0.119259482420036,-0.0091960486691496,0.191917816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,0.0115201581520794,0.0155948984609685,-0.00185653619692294,0,0,0,0.0651133753251553,8.01010182899681E-06,2.96411876510212E-09,-1.56454773175199E-07,1.75245555054544E-05,-1.64845302056277E-08,1.48802639086072E-05,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,suspension2-1;Dynamixel MX-28-1,Origin_left_rear_wheel_suspension_joint,Axis_left_rear_wheel_suspension_joint,left_rear_wheel_suspension_joint,prismatic,-0.10948,0.083602,-0.062578,-1.5708,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
left_rear_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333901,1.94747965711215E-21,-8.54684117566858E-21,0.000410429434291422,-3.52365706057789E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,,Wheel_3dprintABS-5,Origin_left_rear_wheel_joint,Axis_left_rear_wheel_joint,left_rear_wheel_joint,continuous,-0.001,0.021787,-0.01375,1.9626,1.5708,0,left_rear_wheel_suspension,1,0,0,,,,,,,,,,,,
right_rear_wheel_suspension,-0.0156302499401892,-0.0115201581520794,-0.00185653619692288,0,0,0,0.0651133753251555,1.75245555054544E-05,-2.96411876510893E-09,-1.64845302056281E-08,8.01010182899684E-06,1.56454773175206E-07,1.48802639086072E-05,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,,Dynamixel MX-28-2;suspension2-2,Origin_right_rear_wheel_suspension_joint,Axis_right_rear_wheel_suspension_joint,right_rear_wheel_suspension_joint,prismatic,-0.10948,-0.086399,-0.062578,1.5708,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
right_rear_wheel,0.015839199018542,9.71445146547012E-17,0,0,0,0,0.22822169800504,0.0007892115763339,2.43499399225249E-21,8.65985780972721E-21,0.000410429434291421,-3.09567691357026E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,,Wheel_3dprintABS-4,Origin_right_rear_wheel_joint,Axis_right_rear_wheel_joint,right_rear_wheel_joint,continuous,-0.021785,0.001,-0.01375,1.5708,1.5708,0,right_rear_wheel_suspension,1,0,0,,,,,,,,,,,,
